Solar2,Year,Date-No,Time,Ex-Solar,Rain,Temp,Wind,Clowdy,Rainy,Snowy,Pre-Snow
0.0,2012,1,0.5,0.0,30.0,5,2,1,0,0,0.0
0.0,2012,1,1.0,0.0,30.0,5,2,1,0,0,0.0
0.0,2012,1,1.5,0.0,30.0,5,2,1,0,0,0.0
0.0,2012,1,2.0,0.0,30.0,5,2,1,0,0,0.0
0.0,2012,1,2.5,0.0,30.0,5,2,1,0,0,0.0
0.0,2012,1,3.0,0.0,30.0,5,2,1,0,0,0.0
0.0,2012,1,3.5,0.0,30.0,4,2,1,0,0,0.0
0.0,2012,1,4.0,0.0,30.0,4,2,1,0,0,0.0
0.0,2012,1,4.5,0.0,30.0,4,2,1,0,0,0.0
0.0,2012,1,5.0,0.0,30.0,4,2,1,0,0,0.0
0.0,2012,1,5.5,0.0,30.0,4,2,1,0,0,0.0
0.0,2012,1,6.0,0.0,30.0,4,2,1,0,0,0.0
0.0,2012,1,6.5,0.0,30.0,4,2,1,0,0,0.0
0.0,2012,1,7.0,2.9251947299661314,30.0,4,2,1,0,0,0.0
33.0,2012,1,7.5,51.72808244076908,30.0,4,2,1,0,0,0.0
405.0,2012,1,8.0,113.39312827988057,30.0,4,2,1,0,0,0.0
848.0,2012,1,8.5,170.39143898876551,30.0,4,2,1,0,0,0.0
1046.0,2012,1,9.0,221.74775766827747,30.0,4,2,1,0,0,0.0
1521.0,2012,1,9.5,266.58336346714856,30.0,6,2,1,0,0,0.0
1608.0,2012,1,10.0,304.13110673938183,30.0,6,2,1,0,0,0.0
2841.0,2012,1,10.5,333.74853518738803,30.0,6,2,1,0,0,0.0
2577.0,2012,1,11.0,354.9288863989193,30.0,6,2,1,0,0,0.0
2535.0,2012,1,11.5,367.3097586924437,30.0,6,2,1,0,0,0.0
2999.0,2012,1,12.0,370.6793119103926,20.0,6,2,1,0,0,0.0
2382.0,2012,1,12.5,364.97989206299025,10.0,9,3,1,0,0,0.0
2315.0,2012,1,13.0,350.3090178040035,10.0,9,3,1,0,0,0.0
2589.0,2012,1,13.5,326.91771185953843,10.0,9,3,1,0,0,0.0
1459.0,2012,1,14.0,295.20620595959986,10.0,9,3,1,0,0,0.0
1721.0,2012,1,14.5,255.71709276222646,10.0,9,3,1,0,0,0.0
1166.0,2012,1,15.0,209.12604194267573,10.0,9,3,1,0,0,0.0
375.0,2012,1,15.5,156.23023929794985,10.0,10,3,1,0,0,0.0
109.0,2012,1,16.0,97.93474667678724,10.0,10,3,1,0,0,0.0
10.0,2012,1,16.5,35.23701612050004,10.0,10,3,1,0,0,0.0
0.0,2012,1,17.0,0.05451525936796429,10.0,10,3,1,0,0,0.0
0.0,2012,1,17.5,0.0,10.0,10,3,1,0,0,0.0
0.0,2012,1,18.0,0.0,20.0,10,3,1,0,0,0.0
0.0,2012,1,18.5,0.0,30.0,9,3,1,0,0,0.0
0.0,2012,1,19.0,0.0,30.0,9,3,1,0,0,0.0
0.0,2012,1,19.5,0.0,30.0,9,3,1,0,0,0.0
0.0,2012,1,20.0,0.0,30.0,9,3,1,0,0,0.0
0.0,2012,1,20.5,0.0,30.0,9,3,1,0,0,0.0
