Solar3,Mean,Year,Date-No,Time,Rain,Weather,Temp
,0.0,2012,1,0.5,10.0,1,1
,0.0,2012,1,1.0,10.0,1,1
,0.0,2012,1,1.5,10.0,1,1
,0.0,2012,1,2.0,10.0,1,1
,0.0,2012,1,2.5,10.0,1,1
,0.0,2012,1,3.0,10.0,1,1
,0.0,2012,1,3.5,10.0,1,0
,0.0,2012,1,4.0,10.0,1,0
,0.0,2012,1,4.5,10.0,1,0
,0.0,2012,1,5.0,10.0,1,0
,0.0,2012,1,5.5,10.0,1,0
,0.0,2012,1,6.0,10.0,1,0
,0.0,2012,1,6.5,10.0,1,0
,0.0,2012,1,7.0,10.0,1,0
,40.5,2012,1,7.5,10.0,1,0
,338.5,2012,1,8.0,10.0,1,0
,734.0,2012,1,8.5,10.0,1,0
,892.0,2012,1,9.0,10.0,1,0
,1205.0,2012,1,9.5,10.0,1,2
,1323.0,2012,1,10.0,10.0,1,2
,2369.5,2012,1,10.5,10.0,1,2
,2118.5,2012,1,11.0,10.0,1,2
,2124.5,2012,1,11.5,10.0,1,2
,2550.5,2012,1,12.0,10.0,1,2
,1945.5,2012,1,12.5,10.0,0,6
,2021.5,2012,1,13.0,10.0,0,6
,2239.0,2012,1,13.5,10.0,0,6
,1275.0,2012,1,14.0,10.0,0,6
,1463.0,2012,1,14.5,10.0,0,6
,942.5,2012,1,15.0,10.0,0,6
,307.5,2012,1,15.5,10.0,1,8
,91.5,2012,1,16.0,10.0,1,8
,5.0,2012,1,16.5,10.0,1,8
,0.0,2012,1,17.0,10.0,1,8
,0.0,2012,1,17.5,10.0,1,8
,0.0,2012,1,18.0,15.0,1,8
,0.0,2012,1,18.5,20.0,0,7
,0.0,2012,1,19.0,20.0,0,7
,0.0,2012,1,19.5,20.0,0,7
,0.0,2012,1,20.0,20.0,0,7
,0.0,2012,1,20.5,20.0,0,7
,0.0,2012,1,21.0,20.0,0,7
,0.0,2012,1,21.5,20.0,1,5
,0.0,2012,1,22.0,20.0,1,5
,0.0,2012,1,22.5,20.0,1,5
,0.0,2012,1,23.0,20.0,1,5
,0.0,2012,1,23.5,20.0,1,5
,0.0,2012,1,24.0,20.0,1,5
,0.0,2012,2,0.5,10.0,1,3
